question_id,department,exam_year,exam_number,category,subcategory,subtopic,difficulty,question_text,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation,has_image,image_url,is_multi_select,source,created_at
2014_nrs_14_pm001,nursing,2014,1,1. 健康の定義と理解,B.健康に関する指標,出生と死亡の動向,3,日本の平成24年（2012年）における合計特殊出生率はどれか。,0.91,1.41,1.91,2.41,,B,,false,,false,notebooklm,2026-04-05T01:24:41.668Z
2014_nrs_14_pm002,nursing,2014,2,1. 健康の定義と理解,B.健康に関する指標,死因の概要,3,警察庁の「平成24年（2012年）中における自殺の状況」の自殺者の原因・動機のうち最も多いのはどれか。,学校問題,家庭問題,勤務問題,健康問題,,D,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm003,nursing,2014,3,2. 健康に影響する要因,B.生活環境,食品衛星,3,食中毒の原因となるのはどれか。,セラチア,カンジダ,サルモネラ,クラミジア,,C,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm004,nursing,2014,4,3.看護で活用する社会保障,B.介護保険制度の基本,要介護・要支援の認定,3,要介護状態の区分の審査判定業務を行うのはどれか。,介護認定審査会,介護保険審査会,社会福祉協議会,社会保障審議会,,A,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm005,nursing,2014,5,6.人間の特性,A.人間と欲求,社会的欲求,3,社会的欲求はどれか。,安全の欲求,帰属の欲求,睡眠の欲求,排泄の欲求,,B,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm006,nursing,2014,6,7.人間のライフサイクル各期の特徴と生活,B.新生児・乳児期,親子関係,3,乳幼児で人見知りが始まる時期はどれか。,生後1～2か月,生後6～8か月,生後18～24か月,生後36～42か月,,B,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm007,nursing,2014,7,1. 健康の定義と理解,B.健康に関する指標,年齢別人口,3,人口年齢区分における15歳から64歳までの年齢区分はどれか。,従属人口,年少人口,老年人口,生産年齢人口,,D,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm008,nursing,2014,8,1. 健康の定義と理解,B.健康に関する指標,婚姻、家族形態,3,平成24年（2012年）の国民生活基礎調査で、世帯総数における核家族世帯の割合に最も近いのはどれか。,30%,45%,60%,75%,,C,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm009,nursing,2014,9,9.主な看護活動の場と看護の機能,A.看護活動の場と機能・役割,訪問看護ステーション,3,介護保険法に基づき訪問看護を行うことができる職種はどれか。,医　師,薬剤師,理学療法士,介護福祉士,,C,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm010,nursing,2014,10,9.主な看護活動の場と看護の機能,A.看護活動の場と機能・役割,チーム医療,3,嚥下困難のある患者への嚥下訓練において連携する職種で最も適切なのはどれか。,歯科技工士,言語聴覚士,義肢装具士,臨床工学技士,,B,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm011,nursing,2014,11,10.人体の構造と機能,A.人体の基本的な構造と正常な機能,体温調節,3,体温を調節しているのはどれか。,橋,小　脳,中　脳,視床下部,,D,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm012,nursing,2014,12,16.診療に伴う看護技術,F.救命救急処置,気道の確保,3,意識障害がある患者への救命救急処置で最も優先されるのはどれか。,保　温,輸　液,酸素吸入,気道確保,,D,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm013,nursing,2014,13,11.徴候と疾患,A.主要な症状と徴候,高体温、低体温,3,低体温が起こるのはどれか。,尿崩症,褐色細胞腫,甲状腺機能低下症,Cushing＜クッシング＞症候群,,C,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm014,nursing,2014,14,11.徴候と疾患,A.主要な症状と徴候,チアノーゼ,3,チアノーゼが出現するのはどれか。,血清鉄の増加,血中酸素分圧の上昇,血中二酸化炭素分圧の上昇,血中還元ヘモグロビン量の増加,,D,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm015,nursing,2014,15,11.徴候と疾患,A.主要な症状と徴候,貧血,3,貧血の定義で正しいのはどれか。,血圧が下がること,脈拍を自覚すること,立ち上がると失神すること,血色素量が減っていること,,D,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm016,nursing,2014,16,12.薬物の作用とその管理,A.主な薬物の効果と副作用（有害事象）,抗がん薬,3,抗癌薬の副作用（有害事象）である骨髄抑制を示しているのはどれか。,嘔　吐,下　痢,神経障害,白血球減少,,D,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm017,nursing,2014,17,12.薬物の作用とその管理,A.主な薬物の効果と副作用（有害事象）,麻薬,3,貼付剤として用いられる薬剤はどれか。,フェンタニル,リン酸コデイン,モルヒネ塩酸塩,オキシコドン塩酸塩,,A,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm018,nursing,2014,18,13.看護における基本技術,A.コミュニケーション,非言語的コミュニケーション,3,患者とのコミュニケーションで適切なのはどれか。,専門用語を用いて説明する。,視線を合わせずに会話をする。,沈黙が生じたら会話を終える。,患者の非言語的な表現を活用する。,,D,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
2014_nrs_14_pm019,nursing,2014,19,13.看護における基本技術,C.フィジカルアセスメント,バイタルサインの観察,3,成人の安静時における所見で異常なのはどれか,体温36.2℃,呼吸数12/分,脈拍116/分,血圧128/84mmHg,,C,,false,,false,notebooklm,2026-04-05T01:24:41.670Z
