question_id,exam_year,exam_number,question_text_preview
2014_nrs_14_pm024,2014,24,"医療用酸素ボンベと酸素流量計とを図に示す。,,\n酸素の流量を調節するのはどれか。"
2015_nrs_15_am053,2015,53,"Aちゃん（生後10か月、男児）は、先天性心疾患のため手術を受けた。Aちゃんの体重の変化を図に示す。,,\n手術後から現在までの体重の変化に対する評価で適切なのはど"
2015_nrs_15_pm094,2015,94,"搬送時のAさんの様子を図に示す。,,\nAさんの状態はどれか。"
2016_nrs_16_pm020,2016,20,"体位を図に示す。,,\nSims＜シムス＞位はどれか。"
2016_nrs_16_pm040,2016,40,"自助具を図に示す。,,\n関節リウマチによって肩関節に痛みがある患者の関節保護のための自助具として最も適切なのはどれか。"
2016_nrs_16_pm112,2016,112,"朝9時、日勤の看護師が訪室したとき、シリンジポンプの閉塞と輸液ポンプの気泡混入の、2つのアラームが作動した。ノルアドレナリンの入ったシリンジは残量があり、乳酸加"
2017_nrs_17_am020,2017,20,"患者をベッドから車椅子へ移乗介助するときの車椅子の配置を図に示す。,,\n左片麻痺のある患者の介助で最も適切なのはどれか。"
2017_nrs_17_am052,2017,52,"胎生期から小児期の血清免疫グロブリン濃度の年齢による変動を図に示す。,,\n①が示しているのはどれか。"
2017_nrs_17_am097,2017,97,"Aさんの骨折に対して保存療法が行われることとなった。骨折の固定法を図に示す。,,\nAさんの骨折部の固定として適切なのはどれか。"
2017_nrs_17_pm010,2017,10,"股関節の運動を図に示す。,,\n内転はどれか。"
2017_nrs_17_pm066,2017,66,"A病院の組織図を図に示す。,,\n医療安全管理を担う部門が、組織横断的な活動をするのに適切な位置はどれか。"
2017_nrs_17_pm092,2017,92,"Aさんは入院後に呼吸機能検査を受けることになった。換気障害の分類を図に示す。,,\nAさんの呼吸機能検査の結果で考えられるのはどれか。"
2018_nrs_18_am029,2018,29,"Aさん（45歳、男性）は、10年ぶりに会った友人からの顔貌の変化を指摘された。,,\n顔貌変化を図に示す。,,\nAさんの顔貌変化を引き起こしたホルモンはどれか。"
2018_nrs_18_am041,2018,41,"右中葉領域で粗い断続性副雑音（水泡音）が聴取された場合の体位ドレナージの体位を図に示す。,,\n適切なのはどれか。"
2018_nrs_18_am054,2018,54,"平成28年（2016年）の国民生活基礎調査における高齢者世帯の所得構造を図に示す。,,\nAはどれか。"
2018_nrs_18_am064,2018,64,"日本における母の年齢階級別出生率の推移を図に示す。,,\n図の矢印で示してある年齢階級はどれか。"
2019_nrs_19_am038,2019,38,"熱型を図に示す。,,\n熱型の種類と図の組合せで正しいのはどれか。"
2019_nrs_19_am120,2019,120,"Aさんは、2か月間のリハビリテーションの結果、健側をつかってベッド上で端坐位ができるようになり、補装具をつければ軽介助で歩行できる状態まで回復した。退院後はベッ"
2019_nrs_19_pm064,2019,64,"新生児の反応の図を示す。,,\nMoro＜モロー＞反射はどれか。"
2019_nrs_19_pm080,2019,80,"「安静時呼吸」、「深呼吸」、「徐々に深くなっていく呼吸」に伴う肺容量の変化を図に示す。,,\n肺活量を示すのはどれか。"
2020_nrs_20_am041,2020,41,"Aさん（24歳、男性）は、突然出現した胸痛と呼吸困難があり、外来を受診した。意識は清明。身長180cm、体重51㎏、胸郭は扁平である。20歳から40本/日の喫煙"
2020_nrs_20_am081,2020,81,"成人の人体図を示す。,,\n意識清明で不整脈のある成人の脈拍測定時に一般的に使われる部位はどれか。"
2020_nrs_20_pm014,2020,14,"四肢のうち麻痺している部位を斜線で図に示す。,,\n片麻痺はどれか。"
2020_nrs_20_pm024,2020,24,"自動体外式除細動器＜AED＞の電極パッドの貼付位置を図に示す。,,\n適切なのはどれか。"
2020_nrs_20_pm026,2020,26,"生後から20歳になるまでの器官の発育発達を示した曲線（Scammon＜スカモン＞の発育発達曲線）を図に示す。,,\n胸腺の成長を示すのはどれか。"
2020_nrs_20_pm075,2020,75,"正常な性周期である健常女性の10週間の基礎体温を図に示す。,,\n直近の排卵日はどれか。"
2021_nrs_21_am011,2021,11,"右大腿骨前面を図に示す。,,\n大腿骨頸部はどれか。"
2021_nrs_21_am018,2021,18,"呼吸パターンを図に示す。,,\nCheyne-Stokes＜チェーン-ストークス＞呼吸はどれか。"
2021_nrs_21_am037,2021,37,"上肢のフィジカルアセスメントの立位での実施場面の写真を示す。,,\n手のひらを上にして、肩の高さで水平に前方に両腕を伸ばしてもらった。その後、閉眼してもらうと、左"
2021_nrs_21_am077,2021,77,"脳の外側面を左右から見た模式図を示す。,,\n右利きの健常成人のBroca＜ブローカ＞の運動性言語中枢はどれか。"
2021_nrs_21_am081,2021,81,"心電図を示す。心電図の記録速度は25mm/秒である。,,\n心電図波形によって計測した心拍数で正しいのはどれか。"
2021_nrs_21_am091,2021,91,"人体の前面と背面を図に示す。,,\nAさんの人工肛門が造設される位置はどれか。"
2021_nrs_21_am104,2021,104,"AさんにLeopold＜レオポルド＞触診法で触診を行ったところ、第2胎向で、子宮底付近にやや柔らかい球状の塊を、恥骨結合側に硬い球状のものを触れた。,,\n腹部前"
2022_nrs_22_am047,2022,47,"Aさん（62歳、男性）は呼吸困難と咳嗽が増強したため外来を受診した。胸部エックス線写真と胸部CTによって特発性肺線維症による間質性肺炎と診断され、呼吸機能検査を"
2022_nrs_22_am109,2022,109,"便の写真を示す。,,\nこのときのAさんの児の便はどれか。"
2022_nrs_22_pm025,2022,25,"腹部前面を図に示す。,,\nMcBurney＜マックバーニー＞圧痛点はどれか。"
2022_nrs_22_pm039,2022,39,"患者の足底と杖をつく位置を図に示す。,,\n両上肢の動きに制限がなく、右下肢に軽度の筋力低下がある患者の三点歩行で、歩き始めの杖の位置が適切なのはどれか。"
2022_nrs_22_pm069,2022,69,"A病院の組織図を示す。,,\n医療安全管理を担う部門が横断的に活動する位置はどれか"
2022_nrs_22_pm073,2022,73,"上肢の運動を図に示す。,,\n肩関節の屈曲の可動域測定で正しいのはどれか。"
2023_nrs_23_am027,2023,27,"舌の模式図を示す。,,\n味蕾が少ない部位はどれか。"
2023_nrs_23_am034,2023,34,"成人の心音の聴取部位を図に示す。,,\n心音の聴診における、僧帽弁領域はどれか。,,\nただし、聴取部位は●で示す。"
2023_nrs_23_am035,2023,35,"滅菌手袋を図に示す。,,\n右手から装着する場合に、左手の母指と示指でつかんで持ち上げる位置で適切なのはどれか。"
2023_nrs_23_am046,2023,46,"自助具を図に示す。,,\n関節リウマチによって肩関節に痛みがある患者の関節への負担を軽減する自助具で適切なのはどれか。"
2023_nrs_23_am110,2023,110,"産褥3日。Aさんは児の啼泣に合わせて横抱きで母乳を与えている。Aさんの乳房の型はⅢ型、熱感が出てきている。乳管は左右とも4本開通している。「抱き方は色々あると聞"
2023_nrs_23_pm021（不備問題採点除外）,2023,0,"ストレッチャーでの角の曲がり方を図に示す。,,\n適切なのはどれか。"
2023_nrs_23_pm037,2023,37,"患者、看護師、ベッド、車椅子の位置を図に示す。,,\nベッド上にいる右片麻痺がある患者の端座位から車椅子への移乗を援助する看護師の足と車椅子の位置で適切なのはどれ"
2023_nrs_23_pm054,2023,54,"遊具を図に示す。,,\n標準的な成長発達をしている1歳4か月の子どもの発達段階に適した遊具はどれか。"
2023_nrs_23_pm066,2023,66,"Aさん（73歳、女性、要介護1）は、1人で暮らしている。室内の家具や手すりなどの、左右にあるものにうまくつかまりながら、バランスをとって移動している。Aさんは「"
2023_nrs_23_pm077,2023,77,"外傷や風邪で発熱し、解熱するまでの体温のセットポイントと実際の体温（核心温度）の変化の例を図に示す。,,\n全身のふるえが起こるのはどれか。"
2024_nrs_24_am030,2024,30,"胎生3週の発生過程にある胚子の横断面を図に示す。,,\nAから分化するのはどれか。"
2024_nrs_24_am039,2024,39,"左肘を固定するために三角巾を置く位置を図に示す。,,\n適切なのはどれか。"
2024_nrs_24_am054,2024,54,"成人の骨髄検査の穿刺部位を図に示す。,,\n正しいのはどれか。"
2024_nrs_24_pm019,2024,19,"長期臥床している患者の仰臥位時のポジショニングを図に示す。,,\nAの位置にクッションを挿入する目的はどれか。"
2024_nrs_24_pm027,2024,27,"A君（15歳、男子）は、蒸し暑い夏の午後に行われたサッカーの試合に出ていた。A君は試合中に大量の汗をかいて、気分が悪くなったので多量の水道水を飲み、日陰で休んで"
2024_nrs_24_pm045,2024,45,"成人の心肺蘇生法における圧迫部位を図に示す。,,\n正しいのはどれか。"
2024_nrs_24_pm071,2024,71,"病院の看護部の組織図を示す。,,\n①の役割について正しいのはどれか。"
