question_id,explanation
2014_nrs_14_pm001,"平成24年（2012年）の合計特殊出生率は1.41である。合計特殊出生率とは、一人の女性が生涯に産む子どもの平均数を示す指標で、人口置換水準（約2.07）を大きく下回っている。日本では1970年代半ばから低下傾向が続き、2005年の1.26を底に微増傾向にあるが、依然として少子化が進行している状況である。0.91や1.91、2.41はいずれも当時の実際の値とは異なる。"
2014_nrs_14_pm002,"平成24年（2012年）の自殺者の原因・動機で最も多いのは健康問題である。警察庁の統計では、自殺の原因・動機として健康問題が約半数を占め最多となっている。うつ病などの精神疾患や身体の病気による苦痛が主な要因である。家庭問題は2番目に多く、経済・生活問題、勤務問題と続く。学校問題は全体に占める割合が最も少ない。看護師として自殺リスクの高い患者の早期発見に役立つ知識である。"
2014_nrs_14_pm003,"サルモネラは食中毒の代表的な原因菌である。鶏卵や食肉を介して感染し、腹痛・下痢・発熱などの症状を引き起こす。セラチアは日和見感染の原因菌で院内感染に関連するが食中毒の原因としては一般的でない。カンジダは真菌であり口腔カンジダ症などを起こす。クラミジアは性感染症の原因微生物である。食中毒の原因菌としてはサルモネラの他にカンピロバクター、腸管出血性大腸菌なども重要である。"
2014_nrs_14_pm004,"要介護状態の区分の審査判定業務を行うのは介護認定審査会である。介護認定審査会は市町村に設置され、保健・医療・福祉の学識経験者で構成される。一次判定（コンピュータ判定）の結果と主治医意見書をもとに二次判定を行い、要介護度を決定する。介護保険審査会は保険給付に関する不服申立ての審理を行う機関であり、審査判定とは異なる。社会福祉協議会や社会保障審議会は直接的な介護認定には関与しない。"
2014_nrs_14_pm005,"マズローの欲求階層説において、帰属の欲求（所属と愛の欲求）は社会的欲求に分類される。集団に属したい、他者と親しい関係を持ちたいという欲求である。安全の欲求は生理的欲求の次に位置する基本的欲求であり社会的欲求ではない。睡眠の欲求と排泄の欲求はともに最下層の生理的欲求に分類される。社会的欲求は生理的欲求と安全の欲求が満たされた後に現れる、より高次の欲求である。"
2014_nrs_14_pm006,"人見知りは生後6〜8か月頃に始まる。この時期、乳児は母親（主たる養育者）と他者を区別できるようになり、見知らぬ人に対して不安や恐怖を示す。これは愛着形成が進んでいる正常な発達の証である。生後1〜2か月では社会的微笑が出現する時期で、まだ特定の人物への愛着は形成されていない。18か月以降は自我の発達が進む時期であり、人見知りの開始時期としては遅すぎる。"
2014_nrs_14_pm007,"15歳から64歳までの年齢区分は生産年齢人口である。人口の年齢区分は、年少人口（0〜14歳）、生産年齢人口（15〜64歳）、老年人口（65歳以上）の3区分に分類される。従属人口とは年少人口と老年人口を合わせたもので、生産年齢人口に経済的に依存する人口を指す。日本では少子高齢化により生産年齢人口の割合が減少し、従属人口指数が上昇する傾向にある。"
2014_nrs_14_pm008,"平成24年（2012年）の国民生活基礎調査において、核家族世帯の割合は約60%である。核家族世帯とは、夫婦のみ、夫婦と未婚の子、ひとり親と未婚の子からなる世帯を指す。日本では核家族化が進行しており、世帯総数に占める割合は最も大きい。単独世帯（一人暮らし）の割合も増加傾向にあり約25%程度、三世代世帯は減少傾向にある。"
2014_nrs_14_pm009,"介護保険法に基づく訪問看護を行える職種は理学療法士である。介護保険法では、訪問看護の担い手として看護師、准看護師、保健師に加え、理学療法士、作業療法士、言語聴覚士が規定されている。医師は訪問診療を行うが訪問看護の実施者ではない。薬剤師は訪問薬剤管理指導を行う。介護福祉士は訪問介護（ホームヘルプ）を担当するが、訪問看護の実施者には含まれない。"
2014_nrs_14_pm010,"嚥下困難のある患者の嚥下訓練で連携する職種として最も適切なのは言語聴覚士である。言語聴覚士は言語障害だけでなく、摂食・嚥下障害のリハビリテーションを専門的に行う職種である。嚥下機能の評価や間接訓練・直接訓練を実施する。歯科技工士は義歯等の作製を行う。義肢装具士は義肢や装具の作製・適合を行う。臨床工学技士は生命維持管理装置の操作・保守を行う職種である。"
